Cruise,StationID,SAMPLE_ID,Sample_Name_Final,Location,Depth_m,BottomDepth_m_,Date_yyyy_mm_dd_,Lat_dd_ddddN_,Lon_dd_ddddE_,Transect,Month,Year,Distance_from_glacier,Salinity_PSU,NO3_uM,NO2_uM,PO4_uM,NH3_uM,SiO4_uM,Temp_C,CTD.depth,Dis_O2_Conc,Turbidity_NTU,ChlA_ug_L,N2,rho,Upwelling.Classification
V2208,OG,OG4,Jones_Sound_OG_27_2022,OG,27,629,8/29/22,76.36482,-82.98248,OG,August,2022,5.5,31.47059282,1.57,0.04,0.68,0.48,5.51,-0.313018799,27,364.3366165,-0.143900553,0.528879801,0.000527728,1025.404838,"Open Water, upper 50m"
V2208,OG,OG1,Jones_Sound_OG_400_2022,OG,400,629,8/29/22,76.36482,-82.98248,Jones Sound Deepest Point,August,2022,5.5,34.22565758,9.55,0.18,0.85,0.27,13.26,0.27511692,400,269.1378546,-0.111595154,0.065380096,4.36E-06,1029.368621,Below 50m
A2208,JSOG1B,JS0G_1,Jones_Sound_OG_450_2022,OG,450,450,8/16/22,76.36482,-82.98248,Station_OG,August,2022,5.5,34.18976094,23.68,0.02,1.29,0.04,20.21,0.214839055,392,256.9896974,0.108046312,0.059130155,1.18E-05,1029.306119,Below 50m
V2208,OG,OG5,Jones_Sound_OG_5_2022,OG,5,629,8/29/22,76.36482,-82.98248,OG,August,2022,5.5,29.57408063,0.02,0,0.39,0.12,1.89,0.5884552,5,362.7360484,-0.058776855,0.424718221,0.000782199,1023.733316,"Open Water, upper 50m"
V2208,OG,OG3,Jones_Sound_OG_50_2022,OG,50,629,8/29/22,76.36482,-82.98248,OG,August,2022,5.5,32.23787276,5.45,0.07,0.93,1.17,10.95,-0.784828186,50,356.5226847,-0.062561035,0.482248942,9.71E-05,1026.153309,"Open Water, upper 50m"
A2108,JS34,JS34_5,South_Cape_Fiord_34_5_2021,South Cape Fiord,5,110,8/22/21,76.41126,-84.36463,South_Cape_Fiord_sill,August,2021,34.984,30.881061,0.61,0.01,0.43,0.21,2.84,1.392894745,5,341.1900081,0.189434629,0.306747668,0.001097861,1024.740688,"Open Water, upper 50m"
A2108,JS12,JS12_20,Sydkap_12_20_2021,South Cape Fiord,20,130,8/14/21,76.65526,-85.20367,Sydkap_out,August,2021,0.453,30.87973293,NA,NA,NA,NA,NA,0.323521007,20,352.9769592,2.64547822,0.171091022,0.000459285,1024.868033,Upwelling
A2108,JS12,JS12_5,Sydkap_12_5_2021,South Cape Fiord,5,130,8/14/21,76.65526,-85.20367,Sydkap_out,August,2021,0.453,28.49715549,2.78,0.04,0.58,0.9,7.86,-0.080113035,5,339.7010913,7.163093336,1.102877068,0.003967378,1022.892084,Upwelling
A2108,JS13,JS13_5,Sydkap_13_5_2021,South Cape Fiord,5,130,8/14/21,76.6516,-85.1917,Sydkap_out,August,2021,0.453,28.54531633,2.78,0.04,0.58,0.9,7.86,-0.146664937,5,343.6639581,8.514404759,1.158508648,0.003908326,1022.932979,Upwelling
A2108,JS13,JS13_20,Sydkap_13_20_2021,South Cape Fiord,20,160,8/12/21,76.6516,-85.1917,Sydkap_out,August,2021,1,30.86974342,3.31,0.05,0.59,0.95,6.07,0.241916656,20,357.1221194,2.743319425,0.188603257,0.000429831,1024.863795,Upwelling
A2108,JS14,JS14_20,Sydkap_14_20_2021,South Cape Fiord,20,140,8/15/21,76.64798,-85.17973,Sydkap_out,August,2021,1.309,30.80957369,2.33,0.03,0.51,0.73,5.95,0.458656773,20,360.0094161,2.500161836,0.165387009,0.00034305,1024.805408,Upwelling
A2108,JS14,JS14_5,Sydkap_14_5_2021,South Cape Fiord,5,140,8/15/21,76.64798,-85.17973,Sydkap_out,August,2021,1.309,28.71198006,2.34,0.03,0.48,0.67,9.02,-0.231233886,5,340.1271213,7.672743364,1.081089598,0.003284429,1023.070472,Upwelling
A2108,JS18,JS18_20,Sydkap_18_20_2021,South Cape Fiord,20,130,8/15/21,76.63219,-85.13283,Sydkap_out,August,2021,3.388,30.79045291,2.32,0.03,0.53,0.53,6.67,0.49453666,20,362.8756851,1.693372322,0.179152749,0.000350083,1024.788296,Upwelling
A2108,JS18,JS18_5,Sydkap_18_5_2021,South Cape Fiord,5,130,8/15/21,76.63219,-85.13283,Sydkap_out,August,2021,3.388,28.86976755,2.32,0.03,0.51,1.28,NA,-0.342862447,5,347.1967215,24.75115412,0.924960512,0.003132908,1023.201424,Upwelling
A2208,SD10B,SD10_3,South_Cape_Fiord_10B_45_2022,South Cape Fiord,45,190,8/22/22,76.38604,-84.16518,Sydkap-out,August,2022,40.501,31.10841007,1.31,0.02,0.68,0.61,4.08,0.13618868,45,393.2071163,0.384053456,2.404411986,0.000237924,1025.180235,"Open Water, upper 50m"
A2208,SD10B,SD10_5,South_Cape_Fiord_10B_5_2022,South Cape Fiord,5,190,8/22/22,76.38604,-84.16518,Sydkap-out,August,2022,40.501,29.38448566,0.07,0,0.38,0.14,2.06,0.913387959,5,375.0463711,0.352668993,0.277847571,8.95E-05,1023.565902,"Open Water, upper 50m"
A2208,SD10B,SD10_2,South_Cape_Fiord_10B_80_2022,South Cape Fiord,80,190,8/22/22,76.38604,-84.16518,Sydkap-out,August,2022,40.501,32.17164682,7.2,0.14,0.99,0.81,12.75,-1.044088479,80,401.347066,0.32086792,0.233447566,0.00026922,1026.253617,Below 50m
